Trial,S1_val,S1_std,S2_val,S2_std,Decision (S1>S2)
85,-8,3,-1,1,0
86,-8,3,-1,1,0
87,-8,3,-1,1,0
88,-8,3,-1,1,1
89,-8,3,-1,1,0
90,-8,3,-1,1,0
91,-8,3,-1,1,0
92,-8,3,-1,1,1
93,-8,3,-1,1,0
94,-8,3,-1,1,1
95,-8,3,-1,1,1
96,-8,3,-1,1,0
97,-8,3,-1,1,0
98,-8,3,-1,1,0
99,-8,3,-1,1,0
100,-8,3,-1,1,0
1,-8,3,0,1,0
2,-8,3,0,1,0
3,-8,3,0,1,0
4,-8,3,0,1,0
5,-8,3,0,1,0
6,-8,3,0,1,0
7,-8,3,0,1,0
8,-8,3,0,1,0
9,-8,3,0,1,0
10,-8,3,0,1,0
11,-8,3,0,1,0
12,-8,3,0,1,0
13,-8,3,0,1,0
14,-8,3,0,1,1
15,-8,3,0,1,0
16,-8,3,0,1,0
17,-8,3,0,1,0
18,-8,3,0,1,1
19,-8,3,0,1,0
20,-8,3,0,1,1
21,-8,3,0,1,1
22,-8,3,0,1,1
23,-8,3,0,1,0
24,-8,3,0,1,1
25,-8,3,0,1,1
26,-8,3,0,1,0
27,-8,3,0,1,1
28,-8,3,0,1,0
29,-8,3,0,1,1
30,-8,3,0,1,1
31,-8,3,0,1,0
32,-8,3,0,1,0
33,-8,3,0,1,0
34,-8,3,0,1,1
35,-8,3,0,1,1
36,-8,3,0,1,0
37,-8,3,0,1,0
38,-8,3,0,1,0
39,-8,3,0,1,0
40,-8,3,0,1,0
41,-8,3,0,1,0
42,-8,3,0,1,0
43,-8,3,0,1,0
44,-8,3,0,1,0
45,-8,3,0,1,0
46,-8,3,0,1,0
47,-8,3,0,1,0
48,-8,3,0,1,1
49,-8,3,0,1,1
50,-8,3,0,1,0
51,-8,3,0,1,0
52,-8,3,0,1,1
53,-8,3,0,1,0
54,-8,3,0,1,0
55,-8,3,0,1,0
56,-8,3,0,1,0
57,-8,3,0,1,1
58,-8,3,0,1,0
59,-8,3,0,1,0
60,-8,3,0,1,1
61,-8,3,0,1,0
62,-8,3,0,1,1
63,-8,3,0,1,0
64,-8,3,0,1,1
65,-8,3,0,1,0
66,-8,3,0,1,1
67,-8,3,0,1,0
68,-8,3,0,1,0
69,-8,3,0,1,0
70,-8,3,0,1,0
71,-8,3,0,1,1
72,-8,3,0,1,0
73,-8,3,0,1,0
74,-8,3,0,1,1
75,-8,3,0,1,0
76,-8,3,0,1,1
77,-8,3,0,1,0
78,-8,3,0,1,0
79,-8,3,0,1,0
80,-8,3,0,1,0
81,-8,3,0,1,0
82,-8,3,0,1,0
83,-8,3,0,1,1
84,-8,3,0,1,1
85,-8,3,0,1,0
86,-8,3,0,1,0
87,-8,3,0,1,0
88,-8,3,0,1,0
89,-8,3,0,1,0
90,-8,3,0,1,1
91,-8,3,0,1,0
92,-8,3,0,1,0
93,-8,3,0,1,1
94,-8,3,0,1,0
95,-8,3,0,1,1
96,-8,3,0,1,1
97,-8,3,0,1,0
98,-8,3,0,1,0
99,-8,3,0,1,0
100,-8,3,0,1,1
1,-8,3,1,1,0
2,-8,3,1,1,0
3,-8,3,1,1,0
4,-8,3,1,1,0
5,-8,3,1,1,0
6,-8,3,1,1,0
7,-8,3,1,1,0
8,-8,3,1,1,0
9,-8,3,1,1,0
10,-8,3,1,1,0
11,-8,3,1,1,0
12,-8,3,1,1,0
13,-8,3,1,1,0
14,-8,3,1,1,0
15,-8,3,1,1,1
16,-8,3,1,1,0
17,-8,3,1,1,0
18,-8,3,1,1,0
19,-8,3,1,1,0
20,-8,3,1,1,0
21,-8,3,1,1,0
22,-8,3,1,1,0
23,-8,3,1,1,0
24,-8,3,1,1,0
25,-8,3,1,1,0
26,-8,3,1,1,0
27,-8,3,1,1,0
28,-8,3,1,1,0
29,-8,3,1,1,0
30,-8,3,1,1,1
31,-8,3,1,1,0
32,-8,3,1,1,0
33,-8,3,1,1,0
34,-8,3,1,1,0
35,-8,3,1,1,0
36,-8,3,1,1,0
37,-8,3,1,1,1
38,-8,3,1,1,0
39,-8,3,1,1,0
40,-8,3,1,1,0
41,-8,3,1,1,0
42,-8,3,1,1,1
43,-8,3,1,1,0
44,-8,3,1,1,0
45,-8,3,1,1,0
46,-8,3,1,1,0
47,-8,3,1,1,0
48,-8,3,1,1,0
49,-8,3,1,1,1
50,-8,3,1,1,0
51,-8,3,1,1,0
52,-8,3,1,1,0
53,-8,3,1,1,0
54,-8,3,1,1,0
55,-8,3,1,1,0
56,-8,3,1,1,0
57,-8,3,1,1,0
58,-8,3,1,1,1
59,-8,3,1,1,0
60,-8,3,1,1,0
61,-8,3,1,1,0
62,-8,3,1,1,0
63,-8,3,1,1,0
64,-8,3,1,1,0
65,-8,3,1,1,0
66,-8,3,1,1,1
67,-8,3,1,1,0
68,-8,3,1,1,0
69,-8,3,1,1,0
70,-8,3,1,1,0
71,-8,3,1,1,0
72,-8,3,1,1,0
73,-8,3,1,1,0
74,-8,3,1,1,0
75,-8,3,1,1,0
76,-8,3,1,1,0
77,-8,3,1,1,0
78,-8,3,1,1,0
79,-8,3,1,1,0
80,-8,3,1,1,0
81,-8,3,1,1,0
82,-8,3,1,1,0
83,-8,3,1,1,0
84,-8,3,1,1,0
85,-8,3,1,1,0
86,-8,3,1,1,0
87,-8,3,1,1,0
88,-8,3,1,1,0
89,-8,3,1,1,0
90,-8,3,1,1,0
91,-8,3,1,1,0
92,-8,3,1,1,0
93,-8,3,1,1,0
94,-8,3,1,1,0
95,-8,3,1,1,0
96,-8,3,1,1,1
97,-8,3,1,1,0
98,-8,3,1,1,0
99,-8,3,1,1,0
100,-8,3,1,1,0
1,-8,3,2,1,0
2,-8,3,2,1,0
3,-8,3,2,1,0
4,-8,3,2,1,0
5,-8,3,2,1,0
6,-8,3,2,1,0
7,-8,3,2,1,0
8,-8,3,2,1,0
9,-8,3,2,1,0
10,-8,3,2,1,0
11,-8,3,2,1,0
12,-8,3,2,1,0
13,-8,3,2,1,0
14,-8,3,2,1,0
15,-8,3,2,1,0
16,-8,3,2,1,0
17,-8,3,2,1,0
18,-8,3,2,1,0
19,-8,3,2,1,0
20,-8,3,2,1,0
21,-8,3,2,1,0
22,-8,3,2,1,0
23,-8,3,2,1,0
24,-8,3,2,1,0
25,-8,3,2,1,0
26,-8,3,2,1,0
27,-8,3,2,1,0
28,-8,3,2,1,1
29,-8,3,2,1,0
30,-8,3,2,1,0
31,-8,3,2,1,1
32,-8,3,2,1,0
33,-8,3,2,1,0
34,-8,3,2,1,0
35,-8,3,2,1,0
36,-8,3,2,1,1
37,-8,3,2,1,0
38,-8,3,2,1,0
39,-8,3,2,1,0
40,-8,3,2,1,0
41,-8,3,2,1,0
42,-8,3,2,1,0
43,-8,3,2,1,0
44,-8,3,2,1,0
45,-8,3,2,1,0
46,-8,3,2,1,0
47,-8,3,2,1,0
48,-8,3,2,1,0
49,-8,3,2,1,0
50,-8,3,2,1,0
51,-8,3,2,1,0
52,-8,3,2,1,0
53,-8,3,2,1,0
54,-8,3,2,1,0
55,-8,3,2,1,0
56,-8,3,2,1,0
57,-8,3,2,1,0
58,-8,3,2,1,0
59,-8,3,2,1,1
60,-8,3,2,1,0
61,-8,3,2,1,0
62,-8,3,2,1,0
63,-8,3,2,1,0
64,-8,3,2,1,0
65,-8,3,2,1,0
66,-8,3,2,1,0
67,-8,3,2,1,0
68,-8,3,2,1,0
69,-8,3,2,1,0
70,-8,3,2,1,0
71,-8,3,2,1,0
72,-8,3,2,1,1
73,-8,3,2,1,0
74,-8,3,2,1,0
75,-8,3,2,1,0
76,-8,3,2,1,0
77,-8,3,2,1,0
78,-8,3,2,1,0
79,-8,3,2,1,0
80,-8,3,2,1,0
81,-8,3,2,1,0
82,-8,3,2,1,0
83,-8,3,2,1,0
84,-8,3,2,1,0
85,-8,3,2,1,0
86,-8,3,2,1,0
87,-8,3,2,1,0
88,-8,3,2,1,0
89,-8,3,2,1,0
90,-8,3,2,1,0
91,-8,3,2,1,0
92,-8,3,2,1,1
93,-8,3,2,1,0
94,-8,3,2,1,0
95,-8,3,2,1,0
96,-8,3,2,1,0
97,-8,3,2,1,0
98,-8,3,2,1,0
99,-8,3,2,1,0
100,-8,3,2,1,1
1,-8,3,3,1,0
2,-8,3,3,1,0
3,-8,3,3,1,0
4,-8,3,3,1,1
5,-8,3,3,1,0
6,-8,3,3,1,0
7,-8,3,3,1,1
8,-8,3,3,1,0
9,-8,3,3,1,0
10,-8,3,3,1,0
11,-8,3,3,1,0
12,-8,3,3,1,0
13,-8,3,3,1,0
14,-8,3,3,1,0
15,-8,3,3,1,0
16,-8,3,3,1,0
17,-8,3,3,1,0
18,-8,3,3,1,0
19,-8,3,3,1,0
20,-8,3,3,1,0
21,-8,3,3,1,0
22,-8,3,3,1,0
23,-8,3,3,1,0
24,-8,3,3,1,0
25,-8,3,3,1,0
26,-8,3,3,1,0
27,-8,3,3,1,0
28,-8,3,3,1,0
29,-8,3,3,1,0
30,-8,3,3,1,0
31,-8,3,3,1,0
32,-8,3,3,1,0
33,-8,3,3,1,0
34,-8,3,3,1,0
35,-8,3,3,1,0
36,-8,3,3,1,0
37,-8,3,3,1,0
38,-8,3,3,1,0
39,-8,3,3,1,0
40,-8,3,3,1,0
41,-8,3,3,1,0
42,-8,3,3,1,0
43,-8,3,3,1,0
44,-8,3,3,1,0
45,-8,3,3,1,0
46,-8,3,3,1,0
47,-8,3,3,1,0
48,-8,3,3,1,0
49,-8,3,3,1,1
50,-8,3,3,1,0
51,-8,3,3,1,0
52,-8,3,3,1,0
53,-8,3,3,1,0
54,-8,3,3,1,0
55,-8,3,3,1,0
56,-8,3,3,1,0
57,-8,3,3,1,0
58,-8,3,3,1,0
59,-8,3,3,1,0
60,-8,3,3,1,1
61,-8,3,3,1,0
62,-8,3,3,1,0
63,-8,3,3,1,0
64,-8,3,3,1,0
65,-8,3,3,1,0
66,-8,3,3,1,0
67,-8,3,3,1,0
68,-8,3,3,1,0
69,-8,3,3,1,0
70,-8,3,3,1,0
71,-8,3,3,1,0
72,-8,3,3,1,0
73,-8,3,3,1,0
74,-8,3,3,1,0
75,-8,3,3,1,0
76,-8,3,3,1,0
77,-8,3,3,1,0
78,-8,3,3,1,0
79,-8,3,3,1,0
80,-8,3,3,1,0
81,-8,3,3,1,0
82,-8,3,3,1,0
83,-8,3,3,1,0
84,-8,3,3,1,0
85,-8,3,3,1,0
86,-8,3,3,1,0
87,-8,3,3,1,0
88,-8,3,3,1,0
89,-8,3,3,1,1
90,-8,3,3,1,0
91,-8,3,3,1,0
92,-8,3,3,1,0
93,-8,3,3,1,0
94,-8,3,3,1,0
95,-8,3,3,1,0
96,-8,3,3,1,0
97,-8,3,3,1,0
98,-8,3,3,1,0
99,-8,3,3,1,0
100,-8,3,3,1,0
1,-8,3,4,1,0
2,-8,3,4,1,0
3,-8,3,4,1,0
4,-8,3,4,1,0
5,-8,3,4,1,0
6,-8,3,4,1,0
7,-8,3,4,1,0
8,-8,3,4,1,0
9,-8,3,4,1,0
10,-8,3,4,1,0
11,-8,3,4,1,0
12,-8,3,4,1,0
13,-8,3,4,1,0
14,-8,3,4,1,0
15,-8,3,4,1,0
16,-8,3,4,1,0
17,-8,3,4,1,0
18,-8,3,4,1,0
19,-8,3,4,1,0
20,-8,3,4,1,0
21,-8,3,4,1,0
22,-8,3,4,1,0
23,-8,3,4,1,0
24,-8,3,4,1,0
25,-8,3,4,1,0
26,-8,3,4,1,0
27,-8,3,4,1,0
28,-8,3,4,1,0
29,-8,3,4,1,0
30,-8,3,4,1,0
31,-8,3,4,1,1
32,-8,3,4,1,0
33,-8,3,4,1,0
34,-8,3,4,1,0
35,-8,3,4,1,0
36,-8,3,4,1,0
37,-8,3,4,1,0
38,-8,3,4,1,0
39,-8,3,4,1,0
40,-8,3,4,1,0
41,-8,3,4,1,0
42,-8,3,4,1,0
43,-8,3,4,1,0
44,-8,3,4,1,0
45,-8,3,4,1,0
46,-8,3,4,1,0
47,-8,3,4,1,0
48,-8,3,4,1,0
49,-8,3,4,1,0
50,-8,3,4,1,0
51,-8,3,4,1,0
52,-8,3,4,1,0
53,-8,3,4,1,0
54,-8,3,4,1,0
55,-8,3,4,1,0
56,-8,3,4,1,0
57,-8,3,4,1,0
58,-8,3,4,1,0
59,-8,3,4,1,0
60,-8,3,4,1,0
61,-8,3,4,1,0
62,-8,3,4,1,0
63,-8,3,4,1,0
64,-8,3,4,1,0
65,-8,3,4,1,0
66,-8,3,4,1,0
67,-8,3,4,1,0
68,-8,3,4,1,0
69,-8,3,4,1,0
70,-8,3,4,1,0
71,-8,3,4,1,0
72,-8,3,4,1,0
73,-8,3,4,1,0
74,-8,3,4,1,0
75,-8,3,4,1,0
76,-8,3,4,1,0
77,-8,3,4,1,0
78,-8,3,4,1,0
79,-8,3,4,1,0
80,-8,3,4,1,0
81,-8,3,4,1,0
82,-8,3,4,1,0
83,-8,3,4,1,0
84,-8,3,4,1,0
85,-8,3,4,1,0
86,-8,3,4,1,0
87,-8,3,4,1,0
88,-8,3,4,1,0
89,-8,3,4,1,0
90,-8,3,4,1,0
91,-8,3,4,1,0
92,-8,3,4,1,0
93,-8,3,4,1,0
94,-8,3,4,1,0
95,-8,3,4,1,0
96,-8,3,4,1,0
97,-8,3,4,1,0
98,-8,3,4,1,0
99,-8,3,4,1,0
100,-8,3,4,1,0
1,-8,3,5,1,0
2,-8,3,5,1,0
3,-8,3,5,1,0
4,-8,3,5,1,0
5,-8,3,5,1,0
6,-8,3,5,1,0
7,-8,3,5,1,0
8,-8,3,5,1,0
9,-8,3,5,1,0
10,-8,3,5,1,0
11,-8,3,5,1,0
12,-8,3,5,1,0
13,-8,3,5,1,0
14,-8,3,5,1,0
15,-8,3,5,1,0
16,-8,3,5,1,0
17,-8,3,5,1,0
18,-8,3,5,1,0
19,-8,3,5,1,0
20,-8,3,5,1,0
21,-8,3,5,1,0
22,-8,3,5,1,0
23,-8,3,5,1,0
24,-8,3,5,1,0
25,-8,3,5,1,0
26,-8,3,5,1,0
27,-8,3,5,1,0
28,-8,3,5,1,0
29,-8,3,5,1,0
30,-8,3,5,1,0
31,-8,3,5,1,0
32,-8,3,5,1,0
33,-8,3,5,1,0
34,-8,3,5,1,0
35,-8,3,5,1,0
36,-8,3,5,1,0
37,-8,3,5,1,0
38,-8,3,5,1,0
39,-8,3,5,1,0
40,-8,3,5,1,0
41,-8,3,5,1,0
42,-8,3,5,1,0
43,-8,3,5,1,0
44,-8,3,5,1,0
45,-8,3,5,1,0
46,-8,3,5,1,0
47,-8,3,5,1,0
48,-8,3,5,1,0
49,-8,3,5,1,0
50,-8,3,5,1,0
51,-8,3,5,1,0
52,-8,3,5,1,0
53,-8,3,5,1,0
54,-8,3,5,1,0
55,-8,3,5,1,0
56,-8,3,5,1,0
57,-8,3,5,1,0
58,-8,3,5,1,0
59,-8,3,5,1,0
60,-8,3,5,1,0
61,-8,3,5,1,0
62,-8,3,5,1,0
63,-8,3,5,1,0
64,-8,3,5,1,0
65,-8,3,5,1,0
66,-8,3,5,1,0
67,-8,3,5,1,0
68,-8,3,5,1,0
69,-8,3,5,1,0
70,-8,3,5,1,0
71,-8,3,5,1,0
72,-8,3,5,1,0
73,-8,3,5,1,0
74,-8,3,5,1,0
75,-8,3,5,1,0
76,-8,3,5,1,0
77,-8,3,5,1,0
78,-8,3,5,1,0
79,-8,3,5,1,0
80,-8,3,5,1,0
81,-8,3,5,1,0
82,-8,3,5,1,0
83,-8,3,5,1,0
84,-8,3,5,1,0
85,-8,3,5,1,0
86,-8,3,5,1,0
87,-8,3,5,1,0
88,-8,3,5,1,0
89,-8,3,5,1,0
90,-8,3,5,1,0
91,-8,3,5,1,0
92,-8,3,5,1,0
93,-8,3,5,1,0
94,-8,3,5,1,0
95,-8,3,5,1,0
96,-8,3,5,1,0
97,-8,3,5,1,0
98,-8,3,5,1,0
99,-8,3,5,1,0
100,-8,3,5,1,0
1,-8,3,6,1,0
2,-8,3,6,1,0
3,-8,3,6,1,0
4,-8,3,6,1,0
5,-8,3,6,1,0
6,-8,3,6,1,0
7,-8,3,6,1,0
8,-8,3,6,1,0
9,-8,3,6,1,0
10,-8,3,6,1,0
11,-8,3,6,1,0
12,-8,3,6,1,0
13,-8,3,6,1,0
14,-8,3,6,1,0
15,-8,3,6,1,0
16,-8,3,6,1,0
17,-8,3,6,1,0
18,-8,3,6,1,0
19,-8,3,6,1,0
20,-8,3,6,1,0
21,-8,3,6,1,0
22,-8,3,6,1,0
23,-8,3,6,1,0
24,-8,3,6,1,0
25,-8,3,6,1,0
26,-8,3,6,1,0
27,-8,3,6,1,0
28,-8,3,6,1,0
29,-8,3,6,1,0
30,-8,3,6,1,0
31,-8,3,6,1,0
32,-8,3,6,1,0
33,-8,3,6,1,0
34,-8,3,6,1,0
35,-8,3,6,1,0
36,-8,3,6,1,0
37,-8,3,6,1,0
38,-8,3,6,1,0
39,-8,3,6,1,0
40,-8,3,6,1,0
41,-8,3,6,1,0
42,-8,3,6,1,0
43,-8,3,6,1,0
44,-8,3,6,1,0
45,-8,3,6,1,0
46,-8,3,6,1,0
47,-8,3,6,1,0
48,-8,3,6,1,0
49,-8,3,6,1,0
50,-8,3,6,1,0
51,-8,3,6,1,0
52,-8,3,6,1,0
53,-8,3,6,1,0
54,-8,3,6,1,0
55,-8,3,6,1,0
56,-8,3,6,1,0
57,-8,3,6,1,0
58,-8,3,6,1,0
59,-8,3,6,1,0
60,-8,3,6,1,0
61,-8,3,6,1,0
62,-8,3,6,1,0
63,-8,3,6,1,0
64,-8,3,6,1,0
65,-8,3,6,1,0
66,-8,3,6,1,0
67,-8,3,6,1,0
68,-8,3,6,1,0
69,-8,3,6,1,0
70,-8,3,6,1,0
71,-8,3,6,1,0
72,-8,3,6,1,0
73,-8,3,6,1,0
74,-8,3,6,1,0
75,-8,3,6,1,0
76,-8,3,6,1,0
77,-8,3,6,1,0
78,-8,3,6,1,0
79,-8,3,6,1,0
80,-8,3,6,1,0
81,-8,3,6,1,0
82,-8,3,6,1,0
83,-8,3,6,1,0
84,-8,3,6,1,0
85,-8,3,6,1,0
86,-8,3,6,1,0
87,-8,3,6,1,0
88,-8,3,6,1,0
89,-8,3,6,1,0
90,-8,3,6,1,0
91,-8,3,6,1,0
92,-8,3,6,1,0
93,-8,3,6,1,0
94,-8,3,6,1,0
95,-8,3,6,1,0
96,-8,3,6,1,0
97,-8,3,6,1,0
98,-8,3,6,1,0
99,-8,3,6,1,0
100,-8,3,6,1,0
1,-8,3,7,1,0
2,-8,3,7,1,0
3,-8,3,7,1,0
4,-8,3,7,1,0
5,-8,3,7,1,0
6,-8,3,7,1,0
7,-8,3,7,1,0
8,-8,3,7,1,0
9,-8,3,7,1,0
10,-8,3,7,1,0
11,-8,3,7,1,0
12,-8,3,7,1,0
13,-8,3,7,1,0
14,-8,3,7,1,0
15,-8,3,7,1,0
16,-8,3,7,1,0
17,-8,3,7,1,0
18,-8,3,7,1,0
19,-8,3,7,1,0
20,-8,3,7,1,0
21,-8,3,7,1,0
22,-8,3,7,1,0
23,-8,3,7,1,0
24,-8,3,7,1,0
25,-8,3,7,1,0
26,-8,3,7,1,0
27,-8,3,7,1,0
28,-8,3,7,1,0
29,-8,3,7,1,0
30,-8,3,7,1,0
31,-8,3,7,1,0
32,-8,3,7,1,0
33,-8,3,7,1,0
34,-8,3,7,1,0
35,-8,3,7,1,0
36,-8,3,7,1,0
37,-8,3,7,1,0
38,-8,3,7,1,0
39,-8,3,7,1,0
40,-8,3,7,1,0
41,-8,3,7,1,0
42,-8,3,7,1,0
43,-8,3,7,1,0
44,-8,3,7,1,0
45,-8,3,7,1,0
46,-8,3,7,1,0
47,-8,3,7,1,0
48,-8,3,7,1,0
49,-8,3,7,1,0
50,-8,3,7,1,0
51,-8,3,7,1,0
52,-8,3,7,1,0
53,-8,3,7,1,0
54,-8,3,7,1,0
55,-8,3,7,1,0
56,-8,3,7,1,0
57,-8,3,7,1,0
58,-8,3,7,1,0
59,-8,3,7,1,0
60,-8,3,7,1,0
61,-8,3,7,1,0
62,-8,3,7,1,0
63,-8,3,7,1,0
64,-8,3,7,1,0
65,-8,3,7,1,0
66,-8,3,7,1,0
67,-8,3,7,1,0
68,-8,3,7,1,0
69,-8,3,7,1,0
70,-8,3,7,1,0
71,-8,3,7,1,0
72,-8,3,7,1,0
73,-8,3,7,1,0
74,-8,3,7,1,0
75,-8,3,7,1,0
76,-8,3,7,1,0
77,-8,3,7,1,0
78,-8,3,7,1,0
79,-8,3,7,1,0
80,-8,3,7,1,0
81,-8,3,7,1,0
82,-8,3,7,1,0
83,-8,3,7,1,0
84,-8,3,7,1,0
85,-8,3,7,1,0
86,-8,3,7,1,0
87,-8,3,7,1,0
88,-8,3,7,1,0
89,-8,3,7,1,0
90,-8,3,7,1,0
91,-8,3,7,1,0
92,-8,3,7,1,0
93,-8,3,7,1,0
94,-8,3,7,1,0
95,-8,3,7,1,0
96,-8,3,7,1,0
97,-8,3,7,1,0
98,-8,3,7,1,0
99,-8,3,7,1,0
100,-8,3,7,1,0
1,-8,3,8,1,0
2,-8,3,8,1,0
3,-8,3,8,1,0
4,-8,3,8,1,0
5,-8,3,8,1,0
6,-8,3,8,1,0
7,-8,3,8,1,0
8,-8,3,8,1,0
9,-8,3,8,1,0
10,-8,3,8,1,0
11,-8,3,8,1,0
12,-8,3,8,1,0
13,-8,3,8,1,0
14,-8,3,8,1,0
15,-8,3,8,1,0
16,-8,3,8,1,0
17,-8,3,8,1,0
18,-8,3,8,1,0
19,-8,3,8,1,0
20,-8,3,8,1,0
21,-8,3,8,1,0
22,-8,3,8,1,0
23,-8,3,8,1,0
24,-8,3,8,1,0
25,-8,3,8,1,0
26,-8,3,8,1,0
27,-8,3,8,1,0
28,-8,3,8,1,0
29,-8,3,8,1,0
30,-8,3,8,1,0
31,-8,3,8,1,0
32,-8,3,8,1,0
33,-8,3,8,1,0
34,-8,3,8,1,0
35,-8,3,8,1,0
36,-8,3,8,1,0
37,-8,3,8,1,0
38,-8,3,8,1,0
39,-8,3,8,1,0
40,-8,3,8,1,0
41,-8,3,8,1,0
42,-8,3,8,1,0
43,-8,3,8,1,0
44,-8,3,8,1,0
45,-8,3,8,1,0
46,-8,3,8,1,0
47,-8,3,8,1,0
48,-8,3,8,1,0
49,-8,3,8,1,0
50,-8,3,8,1,0
51,-8,3,8,1,0
52,-8,3,8,1,0
53,-8,3,8,1,0
54,-8,3,8,1,0
55,-8,3,8,1,0
56,-8,3,8,1,0
57,-8,3,8,1,0
58,-8,3,8,1,0
59,-8,3,8,1,0
60,-8,3,8,1,0
61,-8,3,8,1,0
62,-8,3,8,1,0
63,-8,3,8,1,0
64,-8,3,8,1,0
65,-8,3,8,1,0
66,-8,3,8,1,0
67,-8,3,8,1,0
68,-8,3,8,1,0
69,-8,3,8,1,0
70,-8,3,8,1,0
71,-8,3,8,1,0
72,-8,3,8,1,0
73,-8,3,8,1,0
74,-8,3,8,1,0
75,-8,3,8,1,0
76,-8,3,8,1,0
77,-8,3,8,1,0
78,-8,3,8,1,0
79,-8,3,8,1,0
80,-8,3,8,1,0
81,-8,3,8,1,0
82,-8,3,8,1,0
83,-8,3,8,1,0
84,-8,3,8,1,0
85,-8,3,8,1,0
86,-8,3,8,1,0
87,-8,3,8,1,0
88,-8,3,8,1,0
89,-8,3,8,1,0
90,-8,3,8,1,0
91,-8,3,8,1,0
92,-8,3,8,1,0
93,-8,3,8,1,0
94,-8,3,8,1,0
95,-8,3,8,1,0
96,-8,3,8,1,0
97,-8,3,8,1,0
98,-8,3,8,1,0
99,-8,3,8,1,0
100,-8,3,8,1,0
1,-8,3,9,1,0
2,-8,3,9,1,0
3,-8,3,9,1,0
4,-8,3,9,1,0
5,-8,3,9,1,0
6,-8,3,9,1,0
7,-8,3,9,1,0
8,-8,3,9,1,0
9,-8,3,9,1,0
10,-8,3,9,1,0
11,-8,3,9,1,0
12,-8,3,9,1,0
13,-8,3,9,1,0
14,-8,3,9,1,0
15,-8,3,9,1,0
16,-8,3,9,1,0
17,-8,3,9,1,0
18,-8,3,9,1,0
19,-8,3,9,1,0
20,-8,3,9,1,0
21,-8,3,9,1,0
22,-8,3,9,1,0
23,-8,3,9,1,0
24,-8,3,9,1,0
25,-8,3,9,1,0
26,-8,3,9,1,0
27,-8,3,9,1,0
28,-8,3,9,1,0
29,-8,3,9,1,0
30,-8,3,9,1,0
31,-8,3,9,1,0
32,-8,3,9,1,0
33,-8,3,9,1,0
34,-8,3,9,1,0
35,-8,3,9,1,0
36,-8,3,9,1,0
37,-8,3,9,1,0
38,-8,3,9,1,0
39,-8,3,9,1,0
40,-8,3,9,1,0
41,-8,3,9,1,0
42,-8,3,9,1,0
43,-8,3,9,1,0
44,-8,3,9,1,0
45,-8,3,9,1,0
46,-8,3,9,1,0
47,-8,3,9,1,0
48,-8,3,9,1,0
49,-8,3,9,1,0
50,-8,3,9,1,0
51,-8,3,9,1,0
52,-8,3,9,1,0
53,-8,3,9,1,0
54,-8,3,9,1,0
55,-8,3,9,1,0
56,-8,3,9,1,0
57,-8,3,9,1,0
58,-8,3,9,1,0
59,-8,3,9,1,0
60,-8,3,9,1,0
61,-8,3,9,1,0
62,-8,3,9,1,0
63,-8,3,9,1,0
64,-8,3,9,1,0
65,-8,3,9,1,0
66,-8,3,9,1,0
67,-8,3,9,1,0
68,-8,3,9,1,0
69,-8,3,9,1,0
70,-8,3,9,1,0
71,-8,3,9,1,0
72,-8,3,9,1,0
73,-8,3,9,1,0
74,-8,3,9,1,0
75,-8,3,9,1,0
76,-8,3,9,1,0
77,-8,3,9,1,0
78,-8,3,9,1,0
79,-8,3,9,1,0
80,-8,3,9,1,0
81,-8,3,9,1,0
82,-8,3,9,1,0
83,-8,3,9,1,0
84,-8,3,9,1,0
85,-8,3,9,1,0
86,-8,3,9,1,0
87,-8,3,9,1,0
88,-8,3,9,1,0
89,-8,3,9,1,0
90,-8,3,9,1,0
91,-8,3,9,1,0
92,-8,3,9,1,0
93,-8,3,9,1,0
94,-8,3,9,1,0
95,-8,3,9,1,0
96,-8,3,9,1,0
97,-8,3,9,1,0
98,-8,3,9,1,0
99,-8,3,9,1,0
100,-8,3,9,1,0
1,-8,3,10,1,0
2,-8,3,10,1,0
3,-8,3,10,1,0
4,-8,3,10,1,0
5,-8,3,10,1,0
6,-8,3,10,1,0
7,-8,3,10,1,0
8,-8,3,10,1,0
9,-8,3,10,1,0
10,-8,3,10,1,0
11,-8,3,10,1,0
12,-8,3,10,1,0
13,-8,3,10,1,0
14,-8,3,10,1,0
15,-8,3,10,1,0
16,-8,3,10,1,0
17,-8,3,10,1,0
18,-8,3,10,1,0
19,-8,3,10,1,0
20,-8,3,10,1,0
21,-8,3,10,1,0
22,-8,3,10,1,0
23,-8,3,10,1,0
24,-8,3,10,1,0
25,-8,3,10,1,0
26,-8,3,10,1,0
27,-8,3,10,1,0
28,-8,3,10,1,0
29,-8,3,10,1,0
30,-8,3,10,1,0
31,-8,3,10,1,0
32,-8,3,10,1,0
33,-8,3,10,1,0
34,-8,3,10,1,0
35,-8,3,10,1,0
36,-8,3,10,1,0
37,-8,3,10,1,0
38,-8,3,10,1,0
39,-8,3,10,1,0
40,-8,3,10,1,0
41,-8,3,10,1,0
42,-8,3,10,1,0
43,-8,3,10,1,0
44,-8,3,10,1,0
45,-8,3,10,1,0
46,-8,3,10,1,0
47,-8,3,10,1,0
48,-8,3,10,1,0
49,-8,3,10,1,0
50,-8,3,10,1,0
51,-8,3,10,1,0
52,-8,3,10,1,0
53,-8,3,10,1,0
54,-8,3,10,1,0
55,-8,3,10,1,0
56,-8,3,10,1,0
57,-8,3,10,1,0
